time_s,truth_phase_rad,mode,decoded_phase_rad,truth_error_rad,source_residual_rad,bump_concentration,bump_width_rad,cue_applied,cross_track_position_m
44.0,0.04664909989362122,every_epoch_cue,0.04671860078506047,6.950089143931137e-05,6.929609144989968e-05,0.9417592485729245,0.34642636110411484,1,-0.17334284156095237
46.0,0.04876951509624017,no_cue,0.048769467408148616,-4.768809169775068e-08,-2.507695096021223e-07,0.7961706624100594,0.6751914041299915,0,0.06900920867337845
46.0,0.04876951509624017,periodic_cue,0.04883297371876485,6.345862252477019e-05,6.325554110642173e-05,0.7961706624100596,0.675191404129991,0,0.06900920867337845
46.0,0.04876951509624017,every_epoch_cue,0.04883901426521748,6.949916897713848e-05,6.929608755923411e-05,0.9417592485729646,0.346426361103992,1,0.06900920867337845
48.0,0.050889930508364725,no_cue,0.05088989178739899,-3.872096554502491e-08,-2.3349505307024288e-07,0.7961706624100594,0.6751914041299915,0,0.07000518753193319
48.0,0.050889930508364725,periodic_cue,0.05095339809801519,6.346758965047883e-05,6.32728155633977e-05,0.7961706624100595,0.6751914041299912,0,0.07000518753193319
48.0,0.050889930508364725,every_epoch_cue,0.05095942135920296,6.949085083807205e-05,6.929607675099092e-05,0.9417592485729879,0.34642636110392055,1,0.07000518753193319
50.0,0.05301034613910967,no_cue,0.05301031599936132,-3.013974847476675e-08,-2.196158899181455e-07,0.7961706624100595,0.6751914041299912,0,0.13984180754050612
50.0,0.05301034613910967,periodic_cue,0.05307983168527178,6.948554616226232e-05,6.929607002037486e-05,0.9417592485729912,0.34642636110391034,1,0.13984180754050612
50.0,0.05301034613910967,every_epoch_cue,0.0530798316852701,6.948554616048597e-05,6.929607001904259e-05,0.9417592485729913,0.34642636110391,1,0.13984180754050612
52.0,0.0551307619975905,no_cue,0.055130739901501566,-2.209608895853421e-08,-1.9792865524337344e-07,0.7961706624100595,0.6751914041299912,0,-0.05386973070562817
52.0,0.0551307619975905,periodic_cue,0.055194190462350065,6.342846475959618e-05,6.325263219331134e-05,0.7961706624100601,0.6751914041299902,0,-0.05386973070562817
52.0,0.0551307619975905,every_epoch_cue,0.05520023388884755,6.947189125705577e-05,6.929605869077093e-05,0.9417592485729743,0.346426361103962,1,-0.05386973070562817
54.0,0.05725117809292351,no_cue,0.05725116389844313,-1.4194480257856412e-08,-1.9509469462164475e-07,0.7961706624100595,0.6751914041299912,0,0.14563260198337957
54.0,0.05725117809292351,periodic_cue,0.05731461445929149,6.343636636785277e-05,6.325546615348898e-05,0.7961706624100594,0.6751914041299915,0,0.14563260198337957
54.0,0.05725117809292351,every_epoch_cue,0.05732065505395966,6.947696103631884e-05,6.929606082195505e-05,0.9417592485729396,0.34642636110406855,1,0.14563260198337957
56.0,0.05937159443422582,no_cue,0.05937158898414641,-5.450079498814375e-09,-2.2083023010210923e-07,0.7961706624100595,0.6751914041299912,0,0.09431182040134445
56.0,0.05937159443422582,periodic_cue,0.05943503954499484,6.34451107690559e-05,6.32297306184526e-05,0.7961706624100595,0.6751914041299912,0,0.09431182040134445
56.0,0.05937159443422582,every_epoch_cue,0.059441105910186524,6.951147596057083e-05,6.929609580996754e-05,0.9417592485728911,0.34642636110421726,1,0.09431182040134445
58.0,0.06149201103061533,no_cue,0.06149201403113661,3.000521164864267e-09,-2.0879553996877576e-07,0.7961706624100595,0.6751914041299912,0,0.07327443335088901
58.0,0.06149201103061533,periodic_cue,0.06155546459198526,6.345356136971958e-05,6.324176530858594e-05,0.7961706624100595,0.6751914041299912,0,0.07327443335088901
58.0,0.06149201103061533,every_epoch_cue,0.06156151892108826,6.950789047310835e-05,6.929609441153062e-05,0.9417592485728374,0.34642636110438163,1,0.07327443335088901
60.0,0.06361242789121084,no_cue,0.06361244059948586,1.2708274876871428e-08,-2.4734745407428704e-07,0.7961706624100596,0.675191404129991,0,0.29795728003955446
60.0,0.06361242789121084,periodic_cue,0.06368198409141816,6.955620020754338e-05,6.929614447814814e-05,0.9417592485727846,0.3464263611045436,1,0.29795728003955446
60.0,0.06361242789121084,every_epoch_cue,0.0636819840914165,6.955620020576703e-05,6.929614447637178e-05,0.9417592485727843,0.3464263611045446,1,0.29795728003955446
