condition_seed,noise_seed,node_count,trajectory,decision_index,action_id,action_kind,action_probability,counterfactual_task_gain,communication_penalty,resynchronization_penalty,topology_switch_penalty,training_objective,objective_gain_over_keep
1501,0,10,policy,6,10,remove,0.00843658298254013,-0.004555552896188975,0.003916666666666667,0.0,0.001,-0.009472219562855641,-0.005472219562855641
1501,0,10,policy,9,0,keep,0.8986948132514954,0.0,0.0021666666666666666,0.0,0.0,-0.0021666666666666666,0.0
1501,0,10,policy,9,1,remove,0.009008058346807957,-0.013651508712587579,0.0019166666666666668,0.0,0.001,-0.016568175379254247,-0.01440150871258758
1501,0,10,policy,9,10,remove,0.013424668461084366,-0.0026545015205048372,0.002,0.0,0.001,-0.005654501520504837,-0.0034878348538381707
1502,0,20,keep,0,0,keep,0.058006737381219864,0.0,0.0040416666666666665,0.0,0.0,-0.0040416666666666665,0.0
1502,0,20,keep,0,1,add,0.09100372344255447,0.006366195310040679,0.004291666666666667,0.0001,0.001,0.0009745286433740122,0.005016195310040678
1502,0,20,keep,0,2,swap,0.0011986600002273917,0.006999106864127302,0.0040416666666666665,0.0001,0.001,0.001857440197460636,0.005899106864127302
1502,0,20,keep,0,50,add,0.09354175627231598,-0.002918759362083412,0.004291666666666667,0.0001,0.001,-0.008310426028750078,-0.0042687593620834114
1502,0,20,keep,0,52,swap,0.0013154067564755678,0.015196391131526044,0.0040416666666666665,0.0001,0.001,0.010054724464859378,0.014096391131526043
1502,0,20,keep,3,0,keep,0.06133829802274704,0.0,0.00425,0.0,0.0,-0.00425,0.0
1502,0,20,keep,3,1,add,0.09170383214950562,-0.0007066341492701911,0.0045000000000000005,0.0001,0.001,-0.006306634149270192,-0.0020566341492701916
1502,0,20,keep,3,2,swap,0.0012778593227267265,-0.0006426043888371202,0.00425,0.0001,0.001,-0.005992604388837121,-0.0017426043888371205
1502,0,20,keep,3,50,add,0.09574485570192337,0.00663729404341129,0.0045000000000000005,0.0001,0.001,0.00103729404341129,0.00528729404341129
1502,0,20,keep,3,52,swap,0.0016308475751429796,0.006103541868148432,0.00425,0.0001,0.001,0.0007535418681484318,0.005003541868148432
1502,0,20,keep,6,0,keep,0.06027524173259735,0.0,0.004,0.0,0.0,-0.004,0.0
1502,0,20,keep,6,1,add,0.09350898116827011,0.0011314283431531624,0.00425,0.0001,0.001,-0.004218571656846838,-0.00021857165684683807
1502,0,20,keep,6,2,swap,0.0012340410612523556,0.0014781662147734798,0.004,0.0001,0.001,-0.00362183378522652,0.0003781662147734799
1502,0,20,keep,6,50,add,0.09449581056833267,0.005710477553215965,0.00425,0.0001,0.001,0.00036047755321596425,0.004360477553215964
1502,0,20,keep,6,52,swap,0.0013879737816751003,0.003583161674276081,0.004,0.0001,0.001,-0.0015168383257239194,0.0024831616742760805
1502,0,20,keep,9,0,keep,0.06286069005727768,0.0,0.0024166666666666664,0.0,0.0,-0.0024166666666666664,0.0
1502,0,20,keep,9,1,add,0.1037978008389473,0.00010733894809400457,0.0025833333333333333,0.0001,0.001,-0.0035759943852393286,-0.0011593277185726622
1502,0,20,keep,9,2,swap,0.0017529042670503259,0.0009062545413557332,0.0024166666666666664,0.0001,0.001,-0.002610412125310933,-0.0001937454586442666
1502,0,20,keep,9,50,add,0.09826763719320297,0.0037890313652529928,0.0025833333333333333,0.0001,0.001,0.0001056980319196594,0.002522364698586326
1502,0,20,keep,9,52,swap,0.001528251334093511,0.0021228984088774716,0.002458333333333333,0.0001,0.001,-0.0014354349244558617,0.0009812317422108047
1502,0,20,policy,0,0,keep,0.058006737381219864,0.0,0.0040416666666666665,0.0,0.0,-0.0040416666666666665,0.0
1502,0,20,policy,0,1,add,0.09100372344255447,0.006366195310040679,0.004291666666666667,0.0001,0.001,0.0009745286433740122,0.005016195310040678
1502,0,20,policy,0,2,swap,0.0011986600002273917,0.006999106864127302,0.0040416666666666665,0.0001,0.001,0.001857440197460636,0.005899106864127302
1502,0,20,policy,0,50,add,0.09354175627231598,-0.002918759362083412,0.004291666666666667,0.0001,0.001,-0.008310426028750078,-0.0042687593620834114
1502,0,20,policy,0,52,swap,0.0013154067564755678,0.015196391131526044,0.0040416666666666665,0.0001,0.001,0.010054724464859378,0.014096391131526043
1502,0,20,policy,3,0,keep,1.0,0.0,0.004750000000000001,0.0,0.0,-0.004750000000000001,0.0
1502,0,20,policy,6,0,keep,0.07388234883546829,0.0,0.004625000000000001,0.0,0.0,-0.004625000000000001,0.0
1502,0,20,policy,6,1,add,0.14242073893547058,0.0011513149690866031,0.004875,0.0001,0.001,-0.004823685030913396,-0.00019868503091339564
1502,0,20,policy,6,2,swap,0.0006358847604133189,0.0015041572543332826,0.004625000000000001,0.0001,0.001,-0.004220842745666718,0.00040415725433328234
1502,0,20,policy,6,76,add,0.14285345375537872,0.005811358293032698,0.004875,0.0001,0.001,-0.00016364170696730215,0.004461358293032698
1502,0,20,policy,6,85,swap,0.0003991218109149486,0.005300781470569338,0.004625000000000001,0.0001,0.001,-0.0004242185294306628,0.004200781470569338
1502,0,20,policy,6,86,remove,0.002267231699079275,0.001863094065157389,0.004416666666666667,0.0,0.001,-0.003553572601509278,0.0010714273984907229
1502,0,20,policy,6,93,remove,0.0009882363956421614,-0.0005073345872003143,0.004375,0.0,0.001,-0.005882334587200315,-0.0012573345872003141
