resource_form,communication_multiplier,resynchronization_multiplier,switch_multiplier,mean_best_gain_over_keep,positive_best_nonkeep_fraction,best_type_match_fraction_to_current,node_count,state_count,best_keep_count,best_add_count,best_swap_count,best_remove_count
absolute,0.25,1.0,2.0,0.012863669711496635,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.25,1.0,2.0,0.008592231858163444,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.25,1.0,2.0,0.0040116649104587655,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.25,2.0,0.0,0.013658948389772134,0.5833333333333334,0.9285714285714286,5,24,10,3,8,3
absolute,0.25,2.0,0.0,0.009417056436619883,0.5,0.9285714285714286,10,16,8,2,5,1
absolute,0.25,2.0,0.0,0.005403185381644086,0.8125,0.9285714285714286,20,16,3,7,4,2
absolute,0.25,2.0,0.25,0.013532419711496636,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.25,2.0,0.25,0.009292056436619883,0.5,1.0,10,16,8,2,5,1
absolute,0.25,2.0,0.25,0.005215034593787947,0.75,1.0,20,16,4,7,4,1
absolute,0.25,2.0,0.5,0.013417836378163302,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.25,2.0,0.5,0.009167056436619882,0.5,1.0,10,16,8,2,5,1
absolute,0.25,2.0,0.5,0.005027534593787948,0.75,1.0,20,16,4,7,4,1
absolute,0.25,2.0,1.0,0.013188669711496634,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.25,2.0,1.0,0.008917056436619882,0.5,1.0,10,16,8,2,5,1
absolute,0.25,2.0,1.0,0.0046525345937879475,0.75,1.0,20,16,4,7,4,1
absolute,0.25,2.0,2.0,0.012730336378163306,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.25,2.0,2.0,0.008529731858163442,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.25,2.0,2.0,0.0039491649104587655,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.5,0.0,0.0,0.01409285780275818,0.75,0.8571428571428571,5,24,6,4,10,4
absolute,0.5,0.0,0.0,0.009589452269953218,0.5,0.8571428571428571,10,16,8,2,5,1
absolute,0.5,0.0,0.0,0.0055198520483107525,0.8125,0.8571428571428571,20,16,3,7,4,2
absolute,0.5,0.0,0.25,0.013913931664105948,0.7083333333333334,0.8928571428571429,5,24,7,4,10,3
absolute,0.5,0.0,0.25,0.009464452269953218,0.5,0.8928571428571429,10,16,8,2,5,1
absolute,0.5,0.0,0.25,0.005331050218787947,0.75,0.8928571428571429,20,16,4,7,4,1
absolute,0.5,0.0,0.5,0.013748434435071594,0.625,0.9285714285714286,5,24,9,4,8,3
absolute,0.5,0.0,0.5,0.009339452269953218,0.5,0.9285714285714286,10,16,8,2,5,1
absolute,0.5,0.0,0.5,0.005143550218787947,0.75,0.9285714285714286,20,16,4,7,4,1
absolute,0.5,0.0,1.0,0.013491794711496636,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.5,0.0,1.0,0.009089452269953217,0.5,1.0,10,16,8,2,5,1
absolute,0.5,0.0,1.0,0.004768550218787947,0.75,1.0,20,16,4,7,4,1
absolute,0.5,0.0,2.0,0.013033461378163302,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.5,0.0,2.0,0.008659940191496776,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.5,0.0,2.0,0.004055284702125432,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.5,0.5,0.0,0.013976191136091512,0.75,0.8571428571428571,5,24,6,4,10,4
absolute,0.5,0.5,0.0,0.009545702269953217,0.5,0.8571428571428571,10,16,8,2,5,1
absolute,0.5,0.5,0.0,0.005485477048310752,0.8125,0.8571428571428571,20,16,3,7,4,2
absolute,0.5,0.5,0.25,0.013804684435071594,0.625,0.9285714285714286,5,24,9,4,8,3
absolute,0.5,0.5,0.25,0.009420702269953217,0.5,0.9285714285714286,10,16,8,2,5,1
absolute,0.5,0.5,0.25,0.005296675218787947,0.75,0.9285714285714286,20,16,4,7,4,1
absolute,0.5,0.5,0.5,0.013655830864709624,0.5416666666666666,0.9642857142857143,5,24,11,2,8,3
absolute,0.5,0.5,0.5,0.009295702269953217,0.5,0.9642857142857143,10,16,8,2,5,1
absolute,0.5,0.5,0.5,0.005109175218787947,0.75,0.9642857142857143,20,16,4,7,4,1
absolute,0.5,0.5,1.0,0.013425128044829968,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.5,0.5,1.0,0.009045702269953219,0.5,1.0,10,16,8,2,5,1
absolute,0.5,0.5,1.0,0.004734175218787947,0.75,1.0,20,16,4,7,4,1
absolute,0.5,0.5,2.0,0.012966794711496636,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.5,0.5,2.0,0.008628690191496778,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.5,0.5,2.0,0.004024034702125432,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.5,1.0,0.0,0.013862777240390492,0.6666666666666666,0.8928571428571429,5,24,8,4,8,4
absolute,0.5,1.0,0.0,0.009501952269953217,0.5,0.8928571428571429,10,16,8,2,5,1
absolute,0.5,1.0,0.0,0.005451102048310752,0.8125,0.8928571428571429,20,16,3,7,4,2
